"latnum","longnum","start","end","severity","cause","flood"
22.73391667,89.76691667,NA,NA,NA,NA,"All Households"
22.73978333,89.77333333,NA,NA,NA,NA,"All Households"
22.74238333,89.77266667,NA,NA,NA,NA,"All Households"
22.74163333,89.7733,NA,NA,NA,NA,"All Households"
22.738,89.76706667,NA,NA,NA,NA,"All Households"
22.7095,89.75076667,NA,NA,NA,NA,"All Households"
22.74086667,89.77293333,NA,NA,NA,NA,"All Households"
22.74168333,89.77258333,NA,NA,NA,NA,"All Households"
22.74396667,89.77033333,NA,NA,NA,NA,"All Households"
22.74321667,89.76858333,NA,NA,NA,NA,"All Households"
22.74298333,89.77036667,NA,NA,NA,NA,"All Households"
22.741,89.63338333,NA,NA,NA,NA,"All Households"
22.74436667,89.63758333,NA,NA,NA,NA,"All Households"
22.74706667,89.6371,NA,NA,NA,NA,"All Households"
22.74361667,89.63758333,NA,NA,NA,NA,"All Households"
22.74348333,89.63801667,NA,NA,NA,NA,"All Households"
22.74273333,89.64106667,NA,NA,NA,NA,"All Households"
22.45783333,89.92343333,NA,NA,NA,NA,"All Households"
22.30648333,89.8495,NA,NA,NA,NA,"All Households"
22.30695,89.84923333,NA,NA,NA,NA,"All Households"
22.3005,89.8343,NA,NA,NA,NA,"All Households"
22.30773333,89.85415,NA,NA,NA,NA,"All Households"
22.31093333,89.8473,NA,NA,NA,NA,"All Households"
22.30568333,89.84646667,NA,NA,NA,NA,"All Households"
22.30513333,89.84623333,NA,NA,NA,NA,"All Households"
21.65311667,92.3016,NA,NA,NA,NA,"All Households"
21.6537,92.30441667,NA,NA,NA,NA,"All Households"
21.65183333,92.30031667,NA,NA,NA,NA,"All Households"
21.65183333,92.30035,NA,NA,NA,NA,"All Households"
21.65475,92.30371667,NA,NA,NA,NA,"All Households"
21.65396667,92.30115,NA,NA,NA,NA,"All Households"
22.08588333,90.2279,NA,NA,NA,NA,"All Households"
22.08785,90.22705,NA,NA,NA,NA,"All Households"
22.09758333,90.2238,NA,NA,NA,NA,"All Households"
22.10235,90.22041667,NA,NA,NA,NA,"All Households"
22.10411667,90.22818333,NA,NA,NA,NA,"All Households"
22.18331667,90.07926667,NA,NA,NA,NA,"All Households"
22.1853,90.08011667,NA,NA,NA,NA,"All Households"
22.1415,90.00075,NA,NA,NA,NA,"All Households"
22.1452,90.02183333,NA,NA,NA,NA,"All Households"
22.14505,90.0219,NA,NA,NA,NA,"All Households"
22.14103333,90.0203,NA,NA,NA,NA,"All Households"
22.13911667,90.02011667,NA,NA,NA,NA,"All Households"
22.13851667,90.01206667,NA,NA,NA,NA,"All Households"
22.82805,90.34495,NA,NA,NA,NA,"All Households"
22.8352,90.33946667,NA,NA,NA,NA,"All Households"
22.83346667,90.34033333,NA,NA,NA,NA,"All Households"
22.8424,90.334,NA,NA,NA,NA,"All Households"
22.83915,90.33571667,NA,NA,NA,NA,"All Households"
22.83651667,90.34235,NA,NA,NA,NA,"All Households"
22.843,90.31728333,NA,NA,NA,NA,"All Households"
22.8416,90.33505,NA,NA,NA,NA,"All Households"
22.83516667,90.33393333,NA,NA,NA,NA,"All Households"
22.51205,90.30323333,NA,NA,NA,NA,"All Households"
22.51083333,90.3064,NA,NA,NA,NA,"All Households"
22.5076,90.3095,NA,NA,NA,NA,"All Households"
22.50963333,90.30741667,NA,NA,NA,NA,"All Households"
22.51335,90.3059,NA,NA,NA,NA,"All Households"
22.5141,90.30363333,NA,NA,NA,NA,"All Households"
22.9277,90.50798333,NA,NA,NA,NA,"All Households"
22.92248333,90.5075,NA,NA,NA,NA,"All Households"
22.92438333,90.50703333,NA,NA,NA,NA,"All Households"
22.9176,90.51185,NA,NA,NA,NA,"All Households"
22.92261667,90.5081,NA,NA,NA,NA,"All Households"
22.9222,90.5092,NA,NA,NA,NA,"All Households"
22.92365,90.51156667,NA,NA,NA,NA,"All Households"
22.92365,90.51156667,NA,NA,NA,NA,"All Households"
22.919,90.5007,NA,NA,NA,NA,"All Households"
22.919,90.5007,NA,NA,NA,NA,"All Households"
22.7129,90.2802,NA,NA,NA,NA,"All Households"
22.71306667,90.27898333,NA,NA,NA,NA,"All Households"
22.71368333,90.27686667,NA,NA,NA,NA,"All Households"
22.7136,90.26758333,NA,NA,NA,NA,"All Households"
22.7123,90.27646667,NA,NA,NA,NA,"All Households"
22.71133333,90.28145,NA,NA,NA,NA,"All Households"
22.7109,90.28268333,NA,NA,NA,NA,"All Households"
22.70995,90.28423333,NA,NA,NA,NA,"All Households"
